text,norm,category,lemma,source
Adresse,adresse,noun,adresse,docs/cefr/goethe_a1_wortliste.pdf
Persönliche,persönliche,adjective,persönliche,docs/cefr/goethe_a1_wortliste.pdf
Beziehungen,beziehungen,noun,beziehung,docs/cefr/goethe_a1_wortliste.pdf
Telefon,telefon,noun,telefon,docs/cefr/goethe_a1_wortliste.pdf
Staatsangehörigkeit,staatsangehörigkeit,noun,staatsangehörigkeit,docs/cefr/goethe_a1_wortliste.pdf
Geburtsdatum,geburtsdatum,noun,geburtsdatum,docs/cefr/goethe_a1_wortliste.pdf
Nationalität,nationalität,noun,nationalität,docs/cefr/goethe_a1_wortliste.pdf
Herkunft,herkunft,noun,herkunft,docs/cefr/goethe_a1_wortliste.pdf
Geburtsort,geburtsort,noun,geburtsort,docs/cefr/goethe_a1_wortliste.pdf
Aussehen,aussehen,noun,aussehen,docs/cefr/goethe_a1_wortliste.pdf
Alter,alter,noun,alter,docs/cefr/goethe_a1_wortliste.pdf
Gewohnheiten,gewohnheiten,noun,gewohnheit,docs/cefr/goethe_a1_wortliste.pdf
Tagesablauf,tagesablauf,noun,tagesablauf,docs/cefr/goethe_a1_wortliste.pdf
Wohnen,wohnen,noun,wohnen,docs/cefr/goethe_a1_wortliste.pdf
Haushalt,haushalt,noun,haushalt,docs/cefr/goethe_a1_wortliste.pdf
technische,technische,adjective,technisch,docs/cefr/goethe_a1_wortliste.pdf
Wohnung,wohnung,noun,wohnung,docs/cefr/goethe_a1_wortliste.pdf
richtungen,richtungen,noun,richtung,docs/cefr/goethe_a1_wortliste.pdf
Räume,räume,noun,raum,docs/cefr/goethe_a1_wortliste.pdf
Miete,miete,noun,miete,docs/cefr/goethe_a1_wortliste.pdf
Mietverhältnis,mietverhältnis,noun,mietverhältnis,docs/cefr/goethe_a1_wortliste.pdf
Einrichtung,einrichtung,noun,einrichtung,docs/cefr/goethe_a1_wortliste.pdf
Möbel,möbel,noun,möbel,docs/cefr/goethe_a1_wortliste.pdf
Wohnungswechsel,wohnungswechsel,noun,wohnungswechsel,docs/cefr/goethe_a1_wortliste.pdf
Umwelt,umwelt,noun,umwelt,docs/cefr/goethe_a1_wortliste.pdf
Reisen,reisen,noun,reise,docs/cefr/goethe_a1_wortliste.pdf
Verkehr,verkehr,noun,verkehr,docs/cefr/goethe_a1_wortliste.pdf
Pflanzen,pflanzen,noun,pflanze,docs/cefr/goethe_a1_wortliste.pdf
privater,privater,adjective,privat,docs/cefr/goethe_a1_wortliste.pdf
öffentlicher,öffentlicher,adjective,öffentlich,docs/cefr/goethe_a1_wortliste.pdf
Tiere,tiere,noun,tier,docs/cefr/goethe_a1_wortliste.pdf
Klima,klima,noun,klima,docs/cefr/goethe_a1_wortliste.pdf
Wetter,wetter,noun,wetter,docs/cefr/goethe_a1_wortliste.pdf
Unterkunft,unterkunft,noun,unterkunft,docs/cefr/goethe_a1_wortliste.pdf
Gepäck,gepäck,noun,gepäck,docs/cefr/goethe_a1_wortliste.pdf
Essen,essen,proper noun,essen,docs/cefr/goethe_a1_wortliste.pdf
Trinken,trinken,noun,trinken,docs/cefr/goethe_a1_wortliste.pdf
Einkaufen,einkaufen,noun,einkaufen,docs/cefr/goethe_a1_wortliste.pdf
Gebrauchsartikel,gebrauchsartikel,noun,gebrauchsartikel,docs/cefr/goethe_a1_wortliste.pdf
Nahrungsmittel,nahrungsmittel,noun,nahrungsmittel,docs/cefr/goethe_a1_wortliste.pdf
Geschäfte,geschäfte,noun,geschäft,docs/cefr/goethe_a1_wortliste.pdf
Mahlzeiten,mahlzeiten,noun,mahlzeit,docs/cefr/goethe_a1_wortliste.pdf
Preis,preis,noun,preis,docs/cefr/goethe_a1_wortliste.pdf
Bezahlen,bezahlen,verb,bezahlen,docs/cefr/goethe_a1_wortliste.pdf
Speisen,speisen,noun,speise,docs/cefr/goethe_a1_wortliste.pdf
Lebensmittel,lebensmittel,noun,lebensmittel,docs/cefr/goethe_a1_wortliste.pdf
Getränke,getränke,noun,getränk,docs/cefr/goethe_a1_wortliste.pdf
Kleidung,kleidung,noun,kleidung,docs/cefr/goethe_a1_wortliste.pdf
Lokale,lokale,noun,lokale,docs/cefr/goethe_a1_wortliste.pdf
Restaurant,restaurant,noun,restaurant,docs/cefr/goethe_a1_wortliste.pdf
Caf,caf,noun,caf,docs/cefr/goethe_a1_wortliste.pdf
Dienstleistungen,dienstleistungen,noun,dienstleistung,docs/cefr/goethe_a1_wortliste.pdf
Erziehung,erziehung,noun,erziehung,docs/cefr/goethe_a1_wortliste.pdf
Ausbildung,ausbildung,noun,ausbildung,docs/cefr/goethe_a1_wortliste.pdf
Lernen,lernen,noun,lernen,docs/cefr/goethe_a1_wortliste.pdf
Post,post,noun,post,docs/cefr/goethe_a1_wortliste.pdf
Kinderbetreuung,kinderbetreuung,noun,kinderbetreuung,docs/cefr/goethe_a1_wortliste.pdf
Telekommunikation,telekommunikation,noun,telekommunikation,docs/cefr/goethe_a1_wortliste.pdf
Schule,schule,noun,schule,docs/cefr/goethe_a1_wortliste.pdf
Banken,banken,noun,bank,docs/cefr/goethe_a1_wortliste.pdf
lernen,lernen,verb,lernen,docs/cefr/goethe_a1_wortliste.pdf
Polizei,polizei,noun,polizei,docs/cefr/goethe_a1_wortliste.pdf
Arbeit,arbeit,noun,arbeit,docs/cefr/goethe_a1_wortliste.pdf
Beruf,beruf,noun,beruf,docs/cefr/goethe_a1_wortliste.pdf
Freizeit,freizeit,noun,freizeit,docs/cefr/goethe_a1_wortliste.pdf
