lemma,category,gender,notes,source
gleis,noun,,,cefr_a1
glück,noun,,,cefr_a1
glückwunsch,noun,,,cefr_a1
gmbh,noun,,,cefr_a1
grad,noun,,,cefr_a1
gramm,noun,,,cefr_a1
großelter,noun,,,cefr_a1
großmutter,noun,,,cefr_a1
großvater,noun,,,cefr_a1
grundbaustein,noun,,,cefr_a1
grundlage,noun,,,cefr_a1
grundstock,noun,,,cefr_a1
gruppe,noun,,,cefr_a1
gruß,noun,,,cefr_a1
größe,noun,,,cefr_a1
grüße,noun,,,cefr_a1
gute,noun,,,cefr_a1
haar,noun,,,cefr_a1
halbpension,noun,,,cefr_a1
halle,noun,,,cefr_a1
haltestelle,noun,,,cefr_a1
hand,noun,,,cefr_a1
handbuch,noun,,,cefr_a1
handy,noun,,,cefr_a1
haupt,noun,,,cefr_a1
haus,noun,,,cefr_a1
hausaufgabe,noun,,,cefr_a1
hausfrau,noun,,,cefr_a1
haushalt,noun,,,cefr_a1
hausmann,noun,,,cefr_a1
hausnummer,noun,,,cefr_a1
haustür,noun,,,cefr_a1
heimat,noun,,,cefr_a1
herbst,noun,,,cefr_a1
herd,noun,,,cefr_a1
herkunft,noun,,,cefr_a1
herr,noun,,,cefr_a1
herzlich,noun,,,cefr_a1
hilfe,noun,,,cefr_a1
himmelsrichtung,noun,,,cefr_a1
hin,noun,,,cefr_a1
hobby,noun,,,cefr_a1
hochzeit,noun,,,cefr_a1
hotel,noun,,,cefr_a1
hund,noun,,,cefr_a1
hunger,noun,,,cefr_a1
hähnchen,noun,,,cefr_a1
hälfte,noun,,,cefr_a1
hören,noun,,,cefr_a1
ice,noun,,,cefr_a1
information,noun,,,cefr_a1
interesse,noun,,,cefr_a1
interessent,noun,,,cefr_a1
internet,noun,,,cefr_a1
inventar,noun,,,cefr_a1
inventarlist,noun,,,cefr_a1
jacke,noun,,,cefr_a1
jahr,noun,,,cefr_a1
jahreszeit,noun,,,cefr_a1
januar,noun,,,cefr_a1
japaner,noun,,,cefr_a1
job,noun,,,cefr_a1
jugendliche,noun,,,cefr_a1
juli,noun,,,cefr_a1
junge,noun,,,cefr_a1
juni,noun,,,cefr_a1
kaffee,noun,,,cefr_a1
kannbeschreibung,noun,,,cefr_a1
kannst,noun,,,cefr_a1
karte,noun,,,cefr_a1
kartoffel,noun,,,cefr_a1
kasse,noun,,,cefr_a1
kategorie,noun,,,cefr_a1
kaufhaus,noun,,,cefr_a1
kaufst,noun,,,cefr_a1
kilo,noun,,,cefr_a1
kilometer,noun,,,cefr_a1
kind,noun,,,cefr_a1
kinderbetreuung,noun,,,cefr_a1
kinderbett,noun,,,cefr_a1
kindergarten,noun,,,cefr_a1
kino,noun,,,cefr_a1
kiosk,noun,,,cefr_a1
klasse,noun,,,cefr_a1
klassenzimmer,noun,,,cefr_a1
kleidung,noun,,,cefr_a1
klima,noun,,,cefr_a1
koffer,noun,,,cefr_a1
kollege,noun,,,cefr_a1
kollegin,noun,,,cefr_a1
kommunikation,noun,,,cefr_a1
kompendie,noun,,,cefr_a1
konferenz,noun,,,cefr_a1
konto,noun,,,cefr_a1
kopf,noun,,,cefr_a1
kredit,noun,,,cefr_a1
kreuze,noun,,,cefr_a1
kuchen,noun,,,cefr_a1
kugelschreiber,noun,,,cefr_a1
kultusminister,noun,,,cefr_a1
kunde,noun,,,cefr_a1
kundin,noun,,,cefr_a1
kurs,noun,,,cefr_a1
kurstag,noun,,,cefr_a1
käse,noun,,,cefr_a1
können,noun,,,cefr_a1
küche,noun,,,cefr_a1
kühlschrank,noun,,,cefr_a1
laden,noun,,,cefr_a1
land,noun,,,cefr_a1
lastkraftwage,noun,,,cefr_a1
leben,noun,,,cefr_a1
lebensmittel,noun,,,cefr_a1
lehrer,noun,,,cefr_a1
lehrerin,noun,,,cefr_a1
lehrmaterial,noun,,,cefr_a1
leid,noun,,,cefr_a1
lektüre,noun,,,cefr_a1
lernen,noun,,,cefr_a1
lernende,noun,,,cefr_a1
lernenden,noun,,,cefr_a1
lernzielbestimmung,noun,,,cefr_a1
lesetext,noun,,,cefr_a1
leute,noun,,,cefr_a1
level,noun,,,cefr_a1
licht,noun,,,cefr_a1
liebe,noun,,,cefr_a1
lieblings-cd,noun,,,cefr_a1
lieblingsfilm,noun,,,cefr_a1
lieblingsgetränk,noun,,,cefr_a1
lieblingslied,noun,,,cefr_a1
lied,noun,,,cefr_a1
linke,noun,,,cefr_a1
liste,noun,,,cefr_a1
liter,noun,,,cefr_a1
literatur,noun,,,cefr_a1
lkw,noun,,,cefr_a1
lokal,noun,,,cefr_a1
lokale,noun,,,cefr_a1
ländernam,noun,,,cefr_a1
mahlzeit,noun,,,cefr_a1
